,0,1,2,3,4,5,6,7,8,9,10,11
117,<ANN.ANN object at 0x16B5C430>,0.906326459279972,<ANN.ANN object at 0x16B5C430>,0.94162880111849,ANN,adam,relu,constant,6700,0.01,0.0009,"(100, 90, 80, 70)"
118,<ANN.ANN object at 0x16B5C530>,0.9014330653617616,<ANN.ANN object at 0x16B5C530>,0.9469882325527205,ANN,adam,relu,constant,6700,0.01,1e-05,"(100, 90)"
119,<ANN.ANN object at 0x16B5C4B0>,0.9094722125131073,<ANN.ANN object at 0x16B5C4B0>,0.94092974484446,ANN,adam,relu,constant,6700,0.01,1e-05,"(100, 90, 80, 70)"
120,<ANN.ANN object at 0x16B5C630>,0.9203075847605732,<ANN.ANN object at 0x16B5C630>,0.9245019224047536,ANN,adam,relu,constant,6700,0.0001,0.0001,"(100, 90)"
121,<ANN.ANN object at 0x16B5C6B0>,0.905627403005942,<ANN.ANN object at 0x16B5C6B0>,0.941046254223465,ANN,adam,relu,constant,6700,0.0001,0.0001,"(100, 90, 80, 70)"
122,<ANN.ANN object at 0x16B5C730>,0.9164627752534079,<ANN.ANN object at 0x16B5C730>,0.929861353838984,ANN,adam,relu,constant,6700,0.0001,0.0009,"(100, 90)"
123,<ANN.ANN object at 0x16B5C5B0>,0.9087731562390773,<ANN.ANN object at 0x16B5C5B0>,0.9391821041593849,ANN,adam,relu,constant,6700,0.0001,0.0009,"(100, 90, 80, 70)"
124,<ANN.ANN object at 0x16B5C7B0>,0.917860887801468,<ANN.ANN object at 0x16B5C7B0>,0.9260165443318187,ANN,adam,relu,constant,6700,0.0001,1e-05,"(100, 90)"
125,<ANN.ANN object at 0x16B5C830>,0.9098217406501223,<ANN.ANN object at 0x16B5C830>,0.9397646510544099,ANN,adam,relu,constant,6700,0.0001,1e-05,"(100, 90, 80, 70)"
126,<ANN.ANN object at 0x16B5C8B0>,0.905277874868927,<ANN.ANN object at 0x16B5C8B0>,0.9450075731096353,ANN,adam,relu,constant,7700,0.001,0.0001,"(100, 90)"
127,<ANN.ANN object at 0x16B5C930>,0.9045788185948969,<ANN.ANN object at 0x16B5C930>,0.9474542700687405,ANN,adam,relu,constant,7700,0.001,0.0001,"(100, 90, 80, 70)"
128,<ANN.ANN object at 0x16B5C9B0>,0.906326459279972,<ANN.ANN object at 0x16B5C9B0>,0.9440754980775953,ANN,adam,relu,constant,7700,0.001,0.0009,"(100, 90)"
129,<ANN.ANN object at 0x16B5CAB0>,0.8986368402656414,<ANN.ANN object at 0x16B5CAB0>,0.9471047419317256,ANN,adam,relu,constant,7700,0.001,0.0009,"(100, 90, 80, 70)"
130,<ANN.ANN object at 0x16B5CB30>,0.9108703250611674,<ANN.ANN object at 0x16B5CB30>,0.94092974484446,ANN,adam,relu,constant,7700,0.001,1e-05,"(100, 90)"
131,<ANN.ANN object at 0x16B5CBB0>,0.9108703250611674,<ANN.ANN object at 0x16B5CBB0>,0.9452405918676453,ANN,adam,relu,constant,7700,0.001,1e-05,"(100, 90, 80, 70)"
132,<ANN.ANN object at 0x16B5CC30>,0.8996854246766864,<ANN.ANN object at 0x16B5CC30>,0.94139578236048,ANN,adam,relu,constant,7700,0.01,0.0001,"(100, 90)"
133,<ANN.ANN object at 0x16B5CA30>,0.9038797623208669,<ANN.ANN object at 0x16B5CA30>,0.9408132354654549,ANN,adam,relu,constant,7700,0.01,0.0001,"(100, 90, 80, 70)"
134,<ANN.ANN object at 0x16B5CD30>,0.9031807060468368,<ANN.ANN object at 0x16B5CD30>,0.9455901200046604,ANN,adam,relu,constant,7700,0.01,0.0009,"(100, 90)"
135,<ANN.ANN object at 0x16B5CDB0>,0.8982873121286263,<ANN.ANN object at 0x16B5CDB0>,0.9417453104974951,ANN,adam,relu,constant,7700,0.01,0.0009,"(100, 90, 80, 70)"
