,0
217,"['KNN', 6, 'uniform', 'brute']"
218,"['KNN', 6, 'distance', 'auto']"
219,"['KNN', 6, 'distance', 'ball_tree']"
220,"['KNN', 6, 'distance', 'kd_tree']"
221,"['KNN', 6, 'distance', 'brute']"
222,"['KNN', 8, 'uniform', 'auto']"
223,"['KNN', 8, 'uniform', 'ball_tree']"
224,"['KNN', 8, 'uniform', 'kd_tree']"
225,"['KNN', 8, 'uniform', 'brute']"
226,"['KNN', 8, 'distance', 'auto']"
227,"['KNN', 8, 'distance', 'ball_tree']"
228,"['KNN', 8, 'distance', 'kd_tree']"
229,"['KNN', 8, 'distance', 'brute']"
230,"['KNN', 10, 'uniform', 'auto']"
231,"['KNN', 10, 'uniform', 'ball_tree']"
232,"['KNN', 10, 'uniform', 'kd_tree']"
233,"['KNN', 10, 'uniform', 'brute']"
234,"['KNN', 10, 'distance', 'auto']"
235,"['KNN', 10, 'distance', 'ball_tree']"
236,"['KNN', 10, 'distance', 'kd_tree']"
237,"['KNN', 10, 'distance', 'brute']"
238,"['KNN', 12, 'uniform', 'auto']"
239,"['KNN', 12, 'uniform', 'ball_tree']"
240,"['KNN', 12, 'uniform', 'kd_tree']"
241,"['KNN', 12, 'uniform', 'brute']"
242,"['KNN', 12, 'distance', 'auto']"
243,"['KNN', 12, 'distance', 'ball_tree']"
244,"['KNN', 12, 'distance', 'kd_tree']"
245,"['KNN', 12, 'distance', 'brute']"
246,"['KNN', 14, 'uniform', 'auto']"
247,"['KNN', 14, 'uniform', 'ball_tree']"
248,"['KNN', 14, 'uniform', 'kd_tree']"
249,"['KNN', 14, 'uniform', 'brute']"
250,"['KNN', 14, 'distance', 'auto']"
251,"['KNN', 14, 'distance', 'ball_tree']"
252,"['KNN', 14, 'distance', 'kd_tree']"
253,"['KNN', 14, 'distance', 'brute']"
254,"['KNN', 16, 'uniform', 'auto']"
255,"['KNN', 16, 'uniform', 'ball_tree']"
256,"['KNN', 16, 'uniform', 'kd_tree']"
257,"['KNN', 16, 'uniform', 'brute']"
258,"['KNN', 16, 'distance', 'auto']"
259,"['KNN', 16, 'distance', 'ball_tree']"
260,"['KNN', 16, 'distance', 'kd_tree']"
261,"['KNN', 16, 'distance', 'brute']"
262,"['KNN', 18, 'uniform', 'auto']"
263,"['KNN', 18, 'uniform', 'ball_tree']"
264,"['KNN', 18, 'uniform', 'kd_tree']"
265,"['KNN', 18, 'uniform', 'brute']"
266,"['KNN', 18, 'distance', 'auto']"
267,"['KNN', 18, 'distance', 'ball_tree']"
268,"['KNN', 18, 'distance', 'kd_tree']"
269,"['KNN', 18, 'distance', 'brute']"
270,"['LogR', 'newton-cg', 1]"
271,"['LogR', 'newton-cg', 101]"
272,"['LogR', 'newton-cg', 201]"
273,"['LogR', 'newton-cg', 301]"
274,"['LogR', 'newton-cg', 401]"
275,"['LogR', 'newton-cg', 501]"
276,"['LogR', 'lbfgs', 1]"
277,"['LogR', 'lbfgs', 101]"
278,"['LogR', 'lbfgs', 201]"
279,"['LogR', 'lbfgs', 301]"
280,"['LogR', 'lbfgs', 401]"
281,"['LogR', 'lbfgs', 501]"
282,"['LogR', 'liblinear', 1]"
283,"['LogR', 'liblinear', 101]"
284,"['LogR', 'liblinear', 201]"
285,"['LogR', 'liblinear', 301]"
286,"['LogR', 'liblinear', 401]"
287,"['LogR', 'liblinear', 501]"
288,"['LogR', 'sag', 1]"
289,"['LogR', 'sag', 101]"
290,"['LogR', 'sag', 201]"
291,"['LogR', 'sag', 301]"
292,"['LogR', 'sag', 401]"
293,"['LogR', 'sag', 501]"
294,"['LogR', 'saga', 1]"
295,"['LogR', 'saga', 101]"
296,"['LogR', 'saga', 201]"
297,"['LogR', 'saga', 301]"
298,"['LogR', 'saga', 401]"
299,"['LogR', 'saga', 501]"
